id,name,address,lat,lon,location,people,table,outlet,meeting_room,smoking_room,meeting,time,url
30,호암관 4F,서울특별시 명륜3가동 성균관대학교 호암관,37.5884768,126.9919398,교내 라운지,3,1,2,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
31,호암관 4F,서울특별시 명륜3가동 성균관대학교 호암관,37.5884768,126.9919398,교내 라운지,2,3,0,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
32,수선관 5층 입구쪽 창가,서울특별시 명륜3가동 성균관대학교 수선관,37.5877824,126.990801,교내 라운지,1,3,1,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
33,법학관 2층 중앙,서울 종로구 성균관로 25-2 성균관대학교 인문사회과학캠퍼스 법학관,37.5873936,126.9904955,교내 라운지,1,3,1,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
34,법학관 1층 중앙,서울 종로구 성균관로 25-2 성균관대학교 인문사회과학캠퍼스 법학관,37.5873936,126.9904955,교내 라운지,2,1,0,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
35,법학관 지하1층 통로,서울 종로구 성균관로 25-2 성균관대학교 인문사회과학캠퍼스 법학관,37.5873936,126.9904955,교내 라운지,1,3,1,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
36,법학관 지하2층 엘리베이터 앞,서울 종로구 성균관로 25-2 성균관대학교 인문사회과학캠퍼스 법학관,37.5873936,126.9904955,교내 라운지,3,1,2,0,0,1,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
37,법학관 지하2층 통로,서울 종로구 성균관로 25-2 성균관대학교 인문사회과학캠퍼스 법학관,37.5873936,126.9904955,교내 라운지,1,3,1,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
38,법학관 지하2층 통로 안쪽,서울 종로구 성균관로 25-2 성균관대학교 인문사회과학캠퍼스 법학관,37.5873936,126.9904955,교내 라운지,2,1,2,0,0,0,월07:00~21:00 화07:00~21:00 수07:00~21:00 목07:00~21:00 금07:00~21:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
39,국제관 지하3층 국제관라운지,서울특별시 명륜3가동 성균관대학교 국제관,37.5868104,126.995134,교내 라운지,2,2,2,0,0,0,월07:00~19:00 화07:00~19:00 수07:00~19:00 목07:00~19:00 금07:00~19:00 토운영종료 일운영종료,https://www.skku.edu/skku/campus/support/welfare_01.do#welf_10
